,Unnamed: 0.1,Unnamed: 0,comment
0,0,0,gila cumi cumi raksasajangan lupa gabung ke discord pecinta roblox fisch  httpsdiscordcominvitemotionime
1,1,1,bg lanjutin game nya ada update megalodon dan mosasaurus
2,2,2,bang saya kasih megalodon
3,3,3,ko ga bisa di download vidionyaaaaaa
4,4,4,main bareng bang
5,5,5,main bareng yuk bang gua gak ganggu
6,6,6,main bareng bang gua kasih ikan bagus
7,7,7,bang winda coba mancing saurus merah
8,8,8,lanjut bng seru
9,9,9,bang gua mau ikut main
10,10,10,2648 momen windah speechless
11,11,11,bang abang kalo mau dapetin mosasaurus abang bisa ke ancient isle gua dapet albino mosasaurus
12,12,12,halo
13,13,13,bg aku ada saran cari duit sampe 15k abis tu beli magnet rod lalu mancing di sunstone island biasa ny dpt quality bait crate itu jangan di buka bg jual aja soal ny 1 itu harga ny   1500c lumayan banget kan bg jdi mancing aja disitu klo udh banyak quality crate ny jual nnti untung banyak
14,14,14,banyakbanyak pusing piringnya semuanya dijual kan
15,15,15,godzilla mana nanti datang
16,16,16,pause juga dong aku penasaran paus itu apa
17,17,17,jangan dijual kan itu kesayangan aku tadi
18,18,18,iya aku setuju beli di kapal
19,19,19,situ ikan cumicumi nya besar aku tahu itu 
20,20,20,pesawat lulus itu cepet 
21,21,21,ayolah bilangnya lurus
22,22,22,kan ini udah sampai bagus sekarang bang bang 
23,23,23,kalau maju pasti asik kiatnya
24,24,24,mancing megalodon bang
25,25,25,ap si tb tb end
26,26,26,bang aku dapat megalontong
27,27,27,bang coba megalodon 
28,28,28,aku punya colossal 11biji loh bang mau gak aku kasih  
29,29,29,lanjutin fisch bang
30,30,30,10311 sumpilll ini sfx nya sangat pasaran 
31,31,31,5554 but a story
32,32,32,2137 gila serem juga liat tangannya 
33,33,33,gila gk tau main game ini grafiknya meanwhile gw liat temen gw main game ini grafiknya 
34,34,34,seharusnya lu main ini pake hiu madura
35,35,35,413 player hp menangis well 
36,36,36,lanjut geh bg
37,37,37,lanjut geh bg
38,38,38,cumi cumi juga bisa tanpa di snowcap bang caranya itu abang tunggu malam berkabut habis itu abang pergi ke komoas arah ya w sampe ujung pancing disitu
39,39,39,telat ga bang
40,40,40,ga lanjutin lagi kah bang
41,41,41,bang sekarang buktikan di kehidupan nyata bahwa kamu bisa mancing
42,42,42,lanjutnya gak ada
43,43,43,10523 batang hitam besar
44,44,44,ahh
45,45,45,bang raka itu siapa
46,46,46,budiono siregar cita ku kapal lawd
47,47,47,dilautan
48,48,48,bang main game fishing simulator roblox bang
49,49,49,bang paus donk lebih menantang sama hiu juga ada bang
50,50,50,halo bg windah
51,51,51,mirip yang ada di game play together
52,52,52,akupercinta roblx
53,53,53,macing mania
54,54,54,3529 
55,55,55,bg video nya gk bisa di download
56,56,56,bang dapetin mosasaurus bang lokasi nya di ancien isle itu gede banget bang
57,57,57,selain winda basudara akan ngalahin gua gua 8000 kilo
58,58,58,bgbang stresmen udah punya buaya      purba sama monster laut nesse jan sampai kalah
59,59,59,bang pengen main sama abang nya 324
60,60,60,rheh
61,61,61,mampua piewnya dktit
62,62,62,147 nama lagunya apa
63,63,63,mantap mas brando
64,64,64,sehat sehat bang
65,65,65,ikan  lefiatan
66,66,66,2649 bang windah  
67,67,67,sigma 
68,68,68,bang fc mobile
69,69,69,next mancing di real life dong bang
70,70,70,lu belom liat ancient depth serpent nessie dan megalodon
71,71,71,2651 kirain mau lagsung end stream jir ternyata masih ada 39 menit lagi
72,72,72,bang lanjut plis
73,73,73,lanjutin bang
74,74,74,bang ke the depth boleh ka
75,75,75,cumicumi itu gampang menurut ku
76,76,76,bang aku dapat cumicumi 2 kali
77,77,77,aku tingkat 55
78,78,78,bang aku dapat cumicumi itu pakai pancingan kings
79,79,79,bang ada ikan tuna sirip biru
80,80,80,itu harganya 3500
81,81,81,bang aku sudah dapat cumicumi
82,82,82,semoga cepet ga roboh ya
83,83,83,bang windah skin anomali nih pasti
84,84,84,bang ada alligator di swamp
85,85,85,gw tukang hackers apa lu
86,86,86,lanjut dong bang
87,87,87,endingnya yaalah ngakak
88,88,88,bang namaku raka bang
89,89,89,sus banget pas liat foto
90,90,90,bang mudah mudahan abang sehat selalu amin dan sukses selalu
91,91,91,hiu sumatra terlupakan kah bggg
92,92,92,3937 naik naik naik ngakak njir 
93,93,93,bang cara dapet kapal
94,94,94,bg ad kapal plandasmen 
95,95,95,aku pernah dapat yang cumi cumi besar yang 12000 kg
96,96,96,bang aku dapat juga
97,97,97,bang coba mancing megalodon
98,98,98,mancing terossss
99,99,99,awokawok kena mental
100,100,100,bg kapan blox fruit 11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
101,101,101,bang windah kemana ikan woyo woyo
102,102,102,aku terharu pas bang windah bercerita
103,103,103,bang sekarang animash bisa battle bang bisa tanding sma pemain lain
104,104,104,perjalanan saya
105,105,105,gw udh add abg windah
106,106,106,bg mau gw bagi ikan besar 1000kg gak kalau mau add friend gw bg nama gw hazizuljijoy makasih 138
107,107,107,robi kok pucet kayanya cerita kaya sekawan 5 dah satu nya hantu
108,108,108,aku level 22 aja belom dapet
109,109,109,bang coba main king legacy
110,110,110,nama apk yg auto  click itu ap
111,111,111,cyiakentanachi
112,112,112,cyeaanmmm
113,113,113,hati hati hamil bang
114,114,114,sengaja mati demi cerita budiono siregar
115,115,115,strimer storytelling
116,116,116,gg first time langsung dapet
117,117,117,join
118,118,118,2430 njir baru 1x pancing langsung gg
119,119,119,seruuuu
120,120,120,kamu mancing perkoro bang
121,121,121,pengen di pin dan di notice oleh kak windah
122,122,122,bang lu ke menu trs on fitur bendera bang jadi lu bisa liat tmpt orang orang dapet ikan legendary sama mythic
123,123,123,ini raka siapa ya kok kaya ga kismin rakabuming kah
124,124,124,akhirnya aku bisa bahagiakan orang tuwa aku 
125,125,125,bg mommy gran jual video 
126,126,126,ahirnya raka mencapai cita cita nya
127,127,127,mengocok 
128,128,128,bang griding dlu pas offline bang sampe kekumpul banyak duit beli kapal dan pancingan paling mahal bang
129,129,129,yg dimaksud ikan woyo woyo itu ancient mythical spectral serpent
130,130,130,3953 
131,131,131,3251 ikan isonade bang windah kan ada tuh kek pusaran angin nah jangan masuk mancing di dekat situ nanti dapat isonade cara lebih gampangnya pakai radar
132,132,132,3143 wkkwkwwkwkkw raka old money
133,133,133,sosis jumbo khas pati
134,134,134,betapa masuk akal nya pantun bang windah 
135,135,135,bang coba main homicipher
