,Unnamed: 0,comment
0,0,"Gila Cumi Cumi Raksasa​​
Jangan lupa gabung ke discord pecinta Roblox Fisch : https://discord.com/invite/motionime"
1,1,bg lanjutin game nya ada update megalodon dan mosasaurus😜
2,2,Bang saya kasih megalodon
3,3,Ko ga bisa di download vidionyaaaaaa
4,4,Main bareng bang
5,5,Main bareng yuk bang gua gak ganggu
6,6,Main bareng bang gua kasih ikan bagus
7,7,Bang winda coba mancing saurus merah
8,8,lanjut bng seru
9,9,Bang gua mau ikut main
10,10,26:48 momen windah speechless
11,11,Bang abang kalo mau dapetin mosasaurus abang bisa ke ancient isle gua dapet albino mosasaurus
12,12,halo
13,13,"Bg aku ada saran cari duit sampe 15k abis tu beli magnet rod lalu mancing di sunstone island biasa ny dpt quality bait crate itu jangan di buka bg jual aja soal ny 1 itu harga ny   
1500C$ lumayan banget kan bg jdi mancing aja disitu klo udh banyak quality crate ny jual nnti untung banyak"
14,14,Banyak-banyak pusing piringnya semuanya dijual kan😅🤲🏻🫵🏻
15,15,Godzilla mana nanti datang😢
16,16,Pause juga dong aku penasaran paus itu apa😅
17,17,Jangan dijual kan itu kesayangan aku tadi😢🥹😭
18,18,Iya aku setuju beli di kapal😊😊
19,19,Situ ikan cumi-cumi nya besar aku tahu itu 🥺☺️
20,20,Pesawat lulus itu cepet 🤬🫵🏻
21,21,Ayolah bilangnya lurus😮😡🤬😡🤬😡🤬😡🤬😡🤬😡🤬😡🤬😡🤬😡🤬😡🫵🏻
22,22,Kan ini udah sampai bagus sekarang bang bang 🫵🏻😡🤬
23,23,Kalau maju pasti asik kiatnya😅❤
24,24,mancing megalodon bang😂
25,25,Ap si tb tb end
26,26,Bang aku dapat megalontong😊
27,27,"Bang coba megalodon 🎉🎉
😊"
28,28,Aku punya colossal 11biji loh bang mau gak aku kasih  🥰🥰🥰
29,29,Lanjutin Fisch bang
30,30,1:03:11 sumpilll ini sfx nya sangat pasaran 🗿
31,31,55:54 but a story
32,32,21:37 gila serem juga liat tangannya 💀
33,33,"Gila GK tau main game ini grafiknya 🤯
Meanwhile gw liat temen gw main game ini grafiknya 🗿"
34,34,Seharusnya lu main ini pake hiu Madura
35,35,4:13 player hp menangis well 🤪
36,36,Lanjut geh bg
37,37,Lanjut geh bg
38,38,"cumi cumi juga bisa tanpa di snowcap bang, caranya itu abang tunggu malam berkabut habis itu abang pergi ke komoas arah ya W sampe ujung, pancing disitu"
39,39,telat ga bang
40,40,GA lanjutin lagi kah bang
41,41,Bang sekarang buktikan di kehidupan nyata bahwa kamu bisa mancing!
42,42,lanjutnya gak ada???
43,43,1:05:23 Batang Hitam Besar
44,44,Ahh
45,45,Bang raka itu siapa
46,46,Budiono siregar: cita² ku kapal lawd
47,47,Dilautan
48,48,Bang main game fishing simulator Roblox bang
49,49,"Bang paus donk lebih menantang, sama hiu juga ada bang"
50,50,Halo bg Windah😁
51,51,mirip yang ada di game play together
52,52,akupercinta Roblx
53,53,macing mania
54,54,35:29 🤨🤨🤨
55,55,Bg video nya gk bisa di download
56,56,bang dapetin mosasaurus bang lokasi nya di ancien isle itu gede banget bang
57,57,Selain Winda basudara akan ngalahin gua gua 8000 kilo
58,58,"bg,bang stresmen udah punya buaya      
purba sama monster laut nesse jan sampai kalah"
59,59,Bang pengen main sama abang nya 3:24
60,60,Rheh
61,61,mampua piewnya dktit😂
62,62,1:47 nama lagunya apa?
63,63,Mantap mas Brando
64,64,SEHAT SEHAT BANG
65,65,ikan  lefiatan
66,66,26:49 bang windah : 😮
67,67,Sigma 😮
68,68,Bang fc mobile
69,69,Next mancing di real life dong bang
70,70,"lu belom liat ancient depth serpent, nessie dan megalodon"
71,71,"26:51 kirain mau lagsung end stream jir, ternyata masih ada 39 menit lagi"
72,72,Bang lanjut plis
73,73,LANJUTIN BANG
74,74,Bang ke the depth boleh ka
75,75,"Cumi-cumi itu gampang 
Menurut ku"
76,76,Bang aku dapat cumi-cumi 2 kali
77,77,Aku tingkat 55
78,78,Bang aku dapat cumi-cumi itu pakai pancingan kings
79,79,Bang ada ikan tuna sirip biru
80,80,Itu harganya 3500
81,81,Bang aku sudah dapat cumi-cumi
82,82,semoga cepet ga roboh ya😔
83,83,bang windah skin anomali nih pasti
84,84,Bang ada alligator di swamp
85,85,Gw tukang hackers apa lu?
86,86,Lanjut dong bang
87,87,endingnya yaalah ngakak
88,88,Bang namaku Raka bang
89,89,Sus banget pas liat foto
90,90,Bang mudah mudahan Abang sehat selalu amin dan sukses selalu
91,91,Hiu Sumatra terlupakan kah bggg😢
92,92,39:37 naik naik naik ngakak njir 😂
93,93,Bang cara dapet kapal
94,94,Bg ad kapal plandasmen 😮
95,95,Aku pernah dapat yang cumi cumi besar yang 12.000 kg
96,96,Bang aku dapat juga
97,97,bang coba mancing megalodon
98,98,mancing terossss
99,99,Awokawok kena mental
100,100,bg kapan blox fruit 11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
101,101,bang windah kemana ikan woyo woyo?
102,102,Aku terharu pas bang windah bercerita
103,103,"Bang, sekarang animash bisa battle bang, bisa tanding sma pemain lain"
104,104,perjalanan saya
105,105,Gw udh add abg windah
